x,y,z
-5.434611797,-0.308660001,4.497407913
3.997695923,-3.619251966,7.120895863
6.496255875,-4.930995941,-3.373055935
3.497983932,-3.244467974,-7.058431625
-2.936051846,-1.87026,5.684224129
6.871039867,-3.182003975,-7.745535851
-5.559295654,-5.930419922,2.436095953
-2.18648386,-7.179699898,-0.562420011
0.874495983,7.749196053,-0.562420011
2.935807943,-6.804915905,5.746687889
-1.499379992,-3.619251966,2.373631954
4.497407913,-5.867955685,-7.120895863
1.124351978,-6.929843903,-7.870463848
0.936959982,0.316223979,-7.620607853
0.124927998,-6.11781168,-6.74611187
3.997695923,-6.804915905,-5.371903896
5.309439659,-4.556211948,5.184512138
-1.249523997,-5.930419922,-0.499955982
0.936959982,-1.183156013,7.68307209
6.433792114,-2.619827986,-7.558143616
4.372479916,-6.742451668,-6.496255875
-1.311987996,-5.493171692,1.686527967
4.247551918,-4.181427956,3.872767925
-1.686771989,7.624268055,4.12262392
2.436095953,5.250636101,4.185088158
2.248703957,7.87412405,2.373631954
0.874495983,-5.618099689,0.062463999
-1.062132001,-4.930995941,-7.68307209
-5.434611797,-4.118963718,-7.68307209
3.310591936,-4.743603706,-3.810303926
-2.68619585,-4.181427956,-6.74611187
-2.436339855,-3.43185997,-4.185088158
-1.749235988,-2.557363987,-3.685375929
-0.375027984,-4.368819714,-5.059583664
1.374207973,-7.242163658,5.059583664
6.74611187,-6.430131912,1.56159997
1.374207973,-4.118963718,-0.250099987
-6.184179783,-2.182579994,1.499135971
6.995967865,-6.867379665,5.684224129
3.060735941,7.249484062,6.183936119
-2.061555862,-2.807219982,-6.30886364
-3.997939825,-6.929843903,-6.80857563
4.12262392,-2.93214798,-7.495679855
4.934656143,-3.744179964,-2.873343945
0.812031984,-6.492595673,-7.620607853
6.121471882,-3.806643963,5.059583664
3.373055935,-3.244467974,6.371327877
0.812031984,-3.994035959,-6.558719635
1.748991966,-5.680563927,-7.620607853
-0.250099987,-3.119539976,5.246975899
4.559871674,-3.869107962,-5.746687889
-1.249523997,-5.368243694,5.684224129
6.558719635,-7.929267883,7.558143616
-4.497407913,-7.679411888,3.435519934
-3.560691833,5.812811852,-1.499379992
3.935231924,-6.242739677,1.624063969
4.622335911,-3.994035959,3.560447931
-2.124019861,-4.493747711,6.371327877
5.746687889,-5.555635929,-7.932928085
1.249279976,-1.745332003,-6.30886364
-1.499379992,-2.744755983,-5.184512138
6.621183872,-3.119539976,-1.811455965
-4.809727669,-5.743027687,-3.810303926
-2.436339855,-7.741875648,6.683648109
4.497407913,7.37441206,4.434944153
-0.999668002,-6.180275917,0
7.932928085,-3.681715965,3.935231924
-0.874740005,4.25121212,0.812031984
0.49971199,-4.181427956,2.311167955
-1.936627984,-5.805491924,-6.059007645
0.187391996,-2.807219982,-5.809151649
2.373631954,-4.806067944,6.933504105
1.56159997,-5.243315697,-6.059007645
2.436095953,-7.117235661,-7.308287621
-2.748659849,-1.058228016,6.933504105
2.498559952,-3.119539976,7.308287621
-2.436339855,-5.867955685,-7.620607853
2.935807943,-4.181427956,5.371903896
-0.499955982,-3.306931973,-2.248703957
0.062463999,-2.807219982,-7.68307209
5.621759892,-6.492595673,-6.80857563
3.310591936,-7.929267883,4.747263908
-6.059007645,4.501068115,4.934656143
-1.686771989,-6.367667675,3.060735941
-3.310835838,-5.555635929,0.812031984
4.622335911,6.999628067,5.309439659
2.248703957,-4.118963718,4.185088158
-4.185331821,-2.682291985,-1.624063969
0.312319994,-1.682868004,-0.374783993
4.185088158,-4.993459702,-1.936383963
-4.247551918,-4.431283951,-4.060159683
3.185663939,-6.804915905,-5.934080124
5.809151649,-3.869107962,-7.558143616
-7.807999611,-6.804915905,4.747263908
-1.561843991,-6.367667675,3.435519934
-7.058431625,-7.117235661,5.996543884
0.936959982,-4.493747711,3.310591936
-5.122292042,-4.431283951,2.186239958
5.746687889,-7.741875648,6.371327877
7.120895863,-5.118387699,5.371903896
-2.436339855,-7.429555893,1.311743975
5.809151649,-6.867379665,4.12262392
-1.311987996,-5.555635929,3.435519934
1.998847961,-5.555635929,-4.684800148
-3.373299837,-6.055347919,-6.183936119
5.059583664,-2.994611979,-3.935231924
6.80857563,-2.682291985,-5.496831894
-0.999668002,-2.869683981,7.870463848
6.80857563,-3.494323969,-6.121471882
2.561023951,-4.118963718,3.62291193
2.810879946,-4.181427956,3.373055935
1.748991966,-6.367667675,5.434368134
2.248703957,-7.804339886,3.872767925
-0.562420011,-7.991731644,5.559295654
-0.749812007,-7.554483891,4.12262392
-1.811699986,7.624268055,1.748991966
1.873919964,-5.118387699,4.310015678
1.499135971,6.312523842,5.809151649
-3.185907841,-3.556787968,5.309439659
3.310591936,-2.057651997,-6.558719635
-4.060403824,-4.056499958,3.810303926
-1.436915994,-3.806643963,-7.620607853
3.747839928,-4.056499958,7.745535851
0.49971199,-0.496051997,7.495679855
7.495679855,-6.055347919,-7.807999611
4.997119904,-4.618675709,5.996543884
6.558719635,-5.180851936,4.310015678
-0.749812007,-6.430131912,2.373631954
-1.374451995,-6.804915905,1.311743975
2.248703957,-6.867379665,4.559871674
-0.312563986,-6.867379665,4.934656143
-3.873011827,-4.743603706,3.560447931
4.809727669,-4.930995941,5.559295654
-2.561267853,-4.181427956,6.496255875
-0.125172004,-3.869107962,-7.120895863
1.124351978,-4.868531704,-7.932928085
-0.999668002,-0.995763958,6.433792114
-0.812276006,-2.807219982,6.995967865
2.436095953,-4.681139946,7.308287621
3.310591936,-3.369395971,7.433216095
3.62291193,-3.182003975,4.809727669
3.248127937,7.43687582,4.747263908
3.060735941,-6.742451668,4.559871674
6.183936119,-6.61752367,3.248127937
-0.749812007,-6.11781168,3.185663939
6.246399879,-6.367667675,4.310015678
-0.062707998,-7.242163658,6.496255875
1.686527967,-4.930995941,-6.246399879
-2.373875856,-6.180275917,4.872191906
4.809727669,-2.682291985,6.30886364
4.372479916,-1.37054801,-6.74611187
-0.937204003,-1.183156013,-7.932928085
7.1833601,-3.93157196,-4.559871674
-7.058431625,-3.806643963,5.371903896
1.873919964,-3.681715965,6.121471882
7.807999611,-5.992883682,3.747839928
3.747839928,-5.618099689,3.12319994
-0.749812007,-5.180851936,1.436671972
6.683648109,-7.429555893,2.748415947
7.058431625,-6.679987907,5.934080124
-3.873011827,-5.930419922,1.311743975
1.499135971,-5.180851936,4.622335911
-0.812276006,-7.679411888,-7.308287621
4.434944153,-2.744755983,-4.684800148
-1.936627984,-3.556787968,-7.120895863
-1.124596,-3.806643963,7.058431625
3.060735941,-3.556787968,-5.996543884
2.06131196,-1.807796001,-6.371327877
5.746687889,-4.493747711,-7.68307209
1.499135971,-5.055923939,7.24582386
4.622335911,-7.242163658,5.434368134
6.121471882,-6.367667675,6.621183872
0.49971199,6.562379837,5.996543884
2.123775959,-7.804339886,3.560447931
-3.810547829,-6.55505991,2.498559952
-2.248947859,-6.992307663,4.684800148
3.310591936,-6.242739677,6.933504105
-0.437491983,-6.804915905,4.872191906
-5.622004032,-5.680563927,3.248127937
5.996543884,-5.180851936,-7.1833601
-0.999668002,-6.11781168,-7.308287621
-0.125172004,-3.369395971,-6.371327877
2.436095953,-4.556211948,7.495679855
0.374783993,-3.306931973,7.68307209
2.561023951,-3.244467974,5.684224129
3.12319994,-5.680563927,3.935231924
0.812031984,-5.992883682,3.872767925
6.871039867,-7.304627895,3.435519934
-2.811123848,-5.805491924,2.998271942
3.12319994,7.87412405,4.684800148
0.874495983,-5.430707932,5.746687889
-5.059827805,-3.244467974,4.934656143
2.748415947,-6.929843903,5.621759892
4.247551918,-4.306355953,-4.809727669
0.687103987,-1.495476007,-6.496255875
0,-4.431283951,6.871039867
3.248127937,-3.619251966,-5.434368134
2.998271942,-3.806643963,7.932928085
-2.811123848,-2.432435989,-6.371327877
6.121471882,-4.056499958,6.558719635
3.373055935,-4.743603706,7.433216095
3.997695923,-4.056499958,4.872191906
-0.312563986,-7.866803646,5.559295654
0.124927998,-5.992883682,5.496831894
2.998271942,6.93716383,5.371903896
-3.123443842,-7.304627895,2.06131196
-0.999668002,-5.305779934,4.060159683
1.311743975,-5.930419922,6.995967865
3.060735941,-5.805491924,7.308287621
6.683648109,-2.994611979,6.74611187
-2.248947859,-4.681139946,-6.871039867
5.559295654,-4.368819714,-7.058431625
-6.871039867,-6.867379665,-6.995967865
-2.998515844,-4.681139946,1.811455965
6.496255875,-3.057075977,5.621759892
6.496255875,-5.180851936,5.184512138
-0.687348008,-4.493747711,4.622335911
6.933504105,-6.992307663,3.810303926
4.247551918,-2.682291985,0.874495983
-2.623731852,-6.55505991,2.498559952
2.186239958,-7.304627895,2.623487949
-0.499955982,-3.806643963,5.746687889
1.124351978,-2.494899988,5.184512138
-1.311987996,-5.805491924,7.495679855
3.810303926,-6.804915905,-7.120895863
