x,y,z
2.248703957,-5.618099689,6.621183872
0.999423981,-5.243315697,6.246399879
0.874495983,-5.618099689,6.183936119
2.373631954,-6.492595673,4.934656143
1.186815977,-5.743027687,5.684224129
3.310591936,-5.493171692,5.559295654
2.873343945,-5.618099689,6.183936119
2.186239958,-4.993459702,6.496255875
1.249279976,-5.618099689,5.746687889
2.06131196,-4.368819714,6.496255875
1.56159997,-5.118387699,5.309439659
3.310591936,-4.431283951,5.996543884
0.49971199,-4.056499958,6.30886364
2.123775959,-4.681139946,5.559295654
2.935807943,-4.556211948,6.871039867
1.748991966,-5.430707932,6.683648109
1.936383963,-4.306355953,5.371903896
0.812031984,-5.368243694,6.871039867
1.186815977,-5.055923939,7.24582386
0.749567986,-4.743603706,7.1833601
0.812031984,-5.743027687,5.621759892
1.624063969,-5.118387699,-7.870463848
0.312319994,-4.618675709,5.309439659
1.748991966,-5.055923939,6.871039867
1.998847961,-5.743027687,6.621183872
1.686527967,-6.11781168,5.996543884
1.873919964,-5.493171692,5.496831894
1.436671972,-5.618099689,5.684224129
1.811455965,-4.431283951,6.496255875
1.936383963,-5.180851936,5.934080124
2.06131196,-4.806067944,5.434368134
2.06131196,-4.368819714,5.871615887
2.311167955,-6.679987907,6.74611187
2.311167955,-6.180275917,6.246399879
1.748991966,-5.243315697,5.559295654
2.06131196,-5.243315697,6.30886364
2.06131196,-5.368243694,6.558719635
2.685951948,-5.180851936,6.246399879
2.373631954,-4.056499958,5.621759892
2.498559952,-4.681139946,6.433792114
1.624063969,-5.305779934,6.121471882
3.373055935,-4.930995941,5.496831894
2.373631954,-4.618675709,5.871615887
1.936383963,-3.744179964,6.74611187
2.498559952,-5.305779934,6.183936119
0.124927998,-5.368243694,6.558719635
3.248127937,-4.556211948,6.433792114
1.56159997,-3.744179964,5.434368134
0.874495983,-4.493747711,6.558719635
2.123775959,-5.743027687,6.621183872
2.123775959,-4.806067944,5.496831894
2.311167955,-5.055923939,5.809151649
0.874495983,-4.743603706,5.621759892
1.186815977,-5.430707932,5.246975899
1.998847961,-5.180851936,5.434368134
1.873919964,-4.743603706,6.496255875
1.06188798,-5.055923939,6.558719635
0.374783993,-5.743027687,5.184512138
2.186239958,-4.993459702,6.433792114
1.249279976,-5.743027687,6.558719635
1.124351978,-5.618099689,6.433792114
2.06131196,-4.431283951,6.433792114
2.06131196,-4.368819714,5.934080124
1.436671972,-5.055923939,4.434944153
0.687103987,-4.493747711,6.30886364
2.311167955,-5.680563927,5.371903896
1.686527967,-5.055923939,6.433792114
1.686527967,-4.930995941,5.809151649
1.748991966,-5.118387699,5.934080124
1.873919964,-4.806067944,5.496831894
0.999423981,-4.743603706,5.434368134
2.06131196,-4.493747711,6.30886364
1.186815977,-4.493747711,5.684224129
2.186239958,-4.306355953,5.871615887
1.499135971,-4.431283951,5.371903896
1.748991966,-5.055923939,6.621183872
1.374207973,-5.305779934,5.496831894
1.311743975,-4.930995941,5.684224129
1.06188798,-4.930995941,6.683648109
0.999423981,-5.930419922,5.684224129
1.374207973,-5.368243694,5.621759892
1.249279976,-4.681139946,6.30886364
1.811455965,-4.431283951,5.934080124
1.56159997,-4.118963718,6.683648109
2.123775959,-4.618675709,5.309439659
2.373631954,-5.867955685,7.308287621
1.811455965,-4.681139946,5.434368134
1.936383963,-4.618675709,5.122047901
3.248127937,-4.243891716,5.559295654
2.186239958,-5.180851936,6.683648109
1.998847961,-5.055923939,5.434368134
