x,y,z
3.62291193,-2.057651997,5.496831894
-0.437491983,-4.743603706,6.558719635
3.497983932,-2.807219982,7.058431625
-7.745535851,-2.744755983,-6.246399879
-2.748659849,-7.492019653,5.684224129
5.871615887,-7.804339886,-7.620607853
0.312319994,-5.368243694,6.433792114
0.624639988,-2.744755983,2.873343945
0.49971199,-6.679987907,2.623487949
4.310015678,-5.555635929,5.122047901
6.30886364,-3.494323969,-6.121471882
-4.435187817,-4.368819714,4.434944153
3.810303926,-5.555635929,4.684800148
5.246975899,-2.994611979,7.932928085
0.749567986,-5.430707932,7.120895863
1.748991966,-2.807219982,7.932928085
1.56159997,-3.494323969,3.747839928
-2.248947859,-6.11781168,3.810303926
5.621759892,-2.120115995,7.745535851
3.497983932,-6.61752367,-7.433216095
-0.937204003,-5.930419922,3.310591936
6.059007645,-4.243891716,5.246975899
-7.68307209,-2.93214798,5.059583664
-0.437491983,-6.804915905,6.558719635
-1.374451995,-4.993459702,4.559871674
4.12262392,-5.992883682,6.74611187
2.685951948,-5.243315697,6.933504105
4.684800148,-5.055923939,6.496255875
-0.812276006,-2.869683981,1.873919964
4.934656143,-3.619251966,4.747263908
-2.748659849,-4.930995941,4.809727669
4.372479916,-1.932723999,-6.80857563
5.621759892,-4.868531704,6.933504105
0.874495983,-6.055347919,5.371903896
5.809151649,-3.869107962,-6.496255875
2.311167955,-2.619827986,6.933504105
-0.312563986,-7.242163658,5.746687889
5.559295654,-5.618099689,-7.807999611
-7.995391846,-6.430131912,6.496255875
-2.498803854,-5.555635929,5.122047901
4.559871674,-5.368243694,4.247551918
0.936959982,-5.243315697,-7.870463848
-3.060979843,-5.118387699,5.934080124
4.747263908,-3.556787968,6.80857563
-0.000244,-4.806067944,7.120895863
-0.999668002,-6.992307663,2.561023951
-2.061555862,-3.369395971,3.185663939
0.936959982,-3.182003975,5.184512138
7.932928085,-5.618099689,6.80857563
-0.062707998,-5.992883682,5.996543884
-1.874163985,-4.556211948,2.373631954
4.809727669,-7.929267883,3.497983932
-0.812276006,-4.306355953,6.433792114
6.995967865,-7.929267883,-7.870463848
2.311167955,-4.868531704,5.371903896
-1.561843991,-3.806643963,4.497407913
3.185663939,-2.494899988,-5.746687889
5.746687889,-1.745332003,-7.558143616
-2.936051846,-4.181427956,1.624063969
0.812031984,-0.371123999,4.997119904
0.124927998,-3.556787968,-4.372479916
0.562175989,-5.305779934,-7.370751858
3.248127937,-4.743603706,-7.807999611
-0.624884009,-3.057075977,6.433792114
4.12262392,-3.244467974,5.309439659
-1.187059999,-5.618099689,6.558719635
0.936959982,7.87412405,5.809151649
5.684224129,-5.618099689,6.558719635
-0.187636003,-5.930419922,3.435519934
-0.749812007,-4.243891716,3.435519934
2.685951948,-2.557363987,-7.495679855
-0.312563986,-2.807219982,3.685375929
2.373631954,-5.368243694,6.80857563
2.498559952,-6.492595673,7.24582386
0.936959982,-6.742451668,5.246975899
0.437247992,-6.055347919,-0.999668002
1.249279976,-2.619827986,2.685951948
-0.312563986,-5.368243694,2.436095953
7.433216095,-7.429555893,-6.30886364
2.998271942,-5.305779934,4.747263908
-1.999091983,-3.119539976,3.185663939
2.685951948,-5.618099689,4.060159683
-1.062132001,7.811659813,4.934656143
0,-6.367667675,6.183936119
2.748415947,-4.993459702,-7.433216095
-1.62430799,-1.37054801,4.934656143
4.060159683,-0.808371961,-7.120895863
-7.246068001,-0.995763958,7.370751858
1.624063969,-5.305779934,-4.310015678
2.998271942,-5.243315697,-4.997119904
4.684800148,-2.93214798,6.871039867
